term,int_rate,dti,fico_range_low,total_rec_int,total_rec_late_fee,last_fico_range_high,last_fico_range_low,acc_open_past_24mths,num_tl_op_past_12m,loan_to_income,loan_int_rate_interaction
36,7.89,5.64,700.0,341.55,0.0,699.0,695.0,4.0,4.0,0.04444411522877608,47340.0
36,15.41,18.12,665.0,2747.13,0.0,734.0,730.0,3.0,2.0,0.3346870472031183,252724.0
36,6.49,14.52,755.0,770.82,15.0,744.0,740.0,5.0,3.0,0.07142793367916359,51920.0
36,10.78,25.4,700.0,1386.78,0.0,639.0,635.0,6.0,4.0,0.11110956792266774,86240.0
36,19.89,35.33,665.0,1004.2,0.0,689.0,685.0,12.0,4.0,0.062498697943792834,59670.0
60,7.91,22.91,715.0,3533.1,0.0,769.0,765.0,6.0,0.0,0.2999962500468744,189840.0
36,15.41,1.94,690.0,1189.39,15.12,594.0,590.0,5.0,4.0,0.1687710355829653,133681.75
36,11.49,16.65,680.0,1006.23,0.0,689.0,685.0,8.0,3.0,0.2678475768722546,86175.0
36,12.59,21.38,670.0,2295.5,26.8,539.0,535.0,7.0,3.0,0.296290809429455,201440.0
36,5.32,19.12,685.0,1579.67,0.0,744.0,740.0,4.0,2.0,0.22587969553299372,102144.0
36,9.17,2.55,670.0,686.41,0.0,724.0,720.0,7.0,4.0,0.20833043985500202,137550.0
36,11.22,20.47,710.0,1090.33,0.0,574.0,570.0,9.0,5.0,0.11320541121865625,67320.0
60,11.48,10.9,695.0,3927.93,0.0,674.0,670.0,3.0,3.0,0.2448954602504056,275520.0
36,7.26,5.04,690.0,1128.08,0.0,694.0,690.0,3.0,1.0,0.1666638889351844,72600.0
36,15.41,25.68,665.0,2924.8,0.0,659.0,655.0,0.0,0.0,0.49997826181470373,177215.0
36,11.49,12.96,675.0,4256.57,0.0,829.0,825.0,0.0,0.0,0.4599908001839963,264270.0
36,12.59,31.92,660.0,1423.47,0.0,629.0,625.0,6.0,4.0,0.2499937501562461,125900.0
36,13.67,31.06,710.0,1248.43,0.0,659.0,655.0,7.0,5.0,0.16470103820475868,76552.0
36,15.41,24.05,750.0,14.77,0.0,729.0,725.0,6.0,4.0,0.49999166680555324,462300.0
36,13.18,29.18,710.0,1161.39,0.0,669.0,665.0,6.0,3.0,0.09999833336111065,79080.0
36,18.49,9.17,695.0,1989.55,0.0,724.0,720.0,1.0,1.0,0.31930366801509025,129892.24999999999
36,9.76,2.33,665.0,284.68,0.0,709.0,705.0,6.0,2.0,0.10277492291880781,36112.0
36,14.48,21.7,730.0,2959.63,0.0,714.0,710.0,10.0,3.0,0.4199081371502178,358742.0
36,11.48,19.24,695.0,948.2,0.0,684.0,680.0,7.0,3.0,0.13432735576600174,206640.0
36,10.64,5.74,670.0,1042.63,0.0,714.0,710.0,3.0,1.0,0.11845971600436916,81928.0
36,14.85,28.46,670.0,237.41,0.0,699.0,695.0,4.0,2.0,0.11109876680368848,14850.0
36,8.38,18.58,715.0,685.75,0.0,744.0,740.0,9.0,4.0,0.08546935496277809,83800.00000000001
36,15.41,31.94,665.0,1474.73,0.0,649.0,645.0,7.0,2.0,0.29411255860625246,261970.0
36,5.32,16.3,680.0,683.58,0.0,709.0,705.0,2.0,1.0,0.19999636370247814,58520.0
60,9.76,16.29,715.0,1941.51,0.0,809.0,805.0,2.0,0.0,0.3333288889481474,244000.0
36,13.67,13.76,675.0,1648.24,0.0,804.0,800.0,2.0,0.0,0.16666296304526565,102525.0
36,7.89,8.2,750.0,1817.18,0.0,774.0,770.0,7.0,4.0,0.1454532231525168,126240.0
36,5.32,15.11,710.0,1742.36,0.0,749.0,745.0,3.0,2.0,0.4117586506080793,148960.0
36,6.24,30.73,700.0,1487.67,0.0,699.0,695.0,2.0,0.0,0.34482164100618956,124800.0
60,15.41,14.64,695.0,5849.93,25.21,564.0,560.0,3.0,1.0,0.1982984107798793,323610.0
36,5.32,8.44,725.0,503.02,0.0,759.0,755.0,3.0,1.0,0.04195774854721296,31920.0
60,8.49,24.83,685.0,4339.77,0.0,694.0,690.0,3.0,2.0,0.37332835562192507,237720.0
36,5.32,14.9,715.0,617.67,0.0,779.0,775.0,1.0,0.0,0.1499981250234372,63840.0
60,13.67,11.2,670.0,3353.4,0.0,719.0,715.0,5.0,0.0,0.2328906510412098,181469.25
60,14.33,25.34,680.0,3452.86,15.0,564.0,560.0,8.0,6.0,0.18064224770568216,160496.0
60,13.67,13.49,660.0,1587.47,0.0,589.0,585.0,8.0,2.0,0.2999940001199976,205050.0
60,17.97,25.07,680.0,2290.2,0.0,669.0,665.0,10.0,3.0,0.25618559646482925,241696.49999999997
36,10.64,31.88,690.0,2291.17,0.0,744.0,740.0,3.0,2.0,0.16999787502656216,144704.0
36,7.89,28.81,695.0,1250.33,0.0,684.0,680.0,3.0,2.0,0.28142053084197594,77716.5
36,6.89,16.42,695.0,1597.6,0.0,709.0,705.0,1.0,1.0,0.2777726338401141,103350.0
60,15.41,27.03,670.0,4210.0,0.0,699.0,695.0,5.0,2.0,0.1999983333472221,369840.0
36,9.17,5.69,660.0,2165.96,0.0,719.0,715.0,2.0,2.0,0.13333222223148142,146720.0
36,10.64,11.18,670.0,1260.49,0.0,654.0,650.0,3.0,1.0,0.1999975000312496,170240.0
36,12.59,14.16,675.0,217.16,0.0,694.0,690.0,3.0,2.0,0.0499990000199996,31475.0
36,16.99,9.09,685.0,1682.34,0.0,714.0,710.0,3.0,2.0,0.3461471894771254,305820.0
36,7.89,14.95,720.0,2149.17,0.0,804.0,800.0,3.0,3.0,0.2181798347287752,189360.0
60,9.17,15.1,710.0,3102.05,0.0,724.0,720.0,2.0,0.0,0.25609443787270886,192570.0
36,10.99,14.7,700.0,4445.32,0.0,724.0,720.0,2.0,1.0,0.31249609379882753,274750.0
36,16.55,7.69,670.0,747.42,0.0,554.0,550.0,1.0,1.0,0.06749932500674993,111712.5
36,18.2,18.39,660.0,2670.25,0.0,549.0,545.0,2.0,1.0,0.14543531433859985,160160.0
36,6.89,20.1,745.0,707.47,0.0,759.0,755.0,4.0,0.0,0.29544783073111974,89570.0
60,11.99,12.16,670.0,909.26,0.0,499.0,0.0,3.0,1.0,0.17646799311774827,143880.0
36,18.99,18.56,690.0,3058.66,0.0,724.0,720.0,5.0,3.0,0.15189550416893677,418254.74999999994
60,8.38,25.15,700.0,1170.85,0.0,499.0,0.0,2.0,1.0,0.1999971428979586,117320.00000000001
36,13.67,24.24,680.0,805.21,0.0,744.0,740.0,2.0,1.0,0.1399953334888837,57414.0
36,13.67,34.57,695.0,1667.71,0.0,669.0,665.0,2.0,0.0,0.20763312130218606,102183.25
36,12.59,11.06,660.0,1410.0,0.0,664.0,660.0,5.0,2.0,0.1111102880719402,188850.0
36,6.89,16.18,715.0,93.3,0.0,784.0,780.0,3.0,2.0,0.20281404487260743,99216.0
36,13.67,20.37,690.0,3479.18,0.0,499.0,0.0,3.0,2.0,0.3137193388364934,218720.0
36,9.17,0.99,675.0,275.29,0.0,734.0,730.0,1.0,0.0,0.018691414098933656,18340.0
36,12.59,24.29,720.0,1727.19,0.0,524.0,520.0,15.0,8.0,0.10869433944034493,113310.0
36,13.44,9.23,665.0,1159.98,0.0,684.0,680.0,16.0,9.0,0.08121744956903991,107520.0
60,13.18,8.88,685.0,5161.83,22.85,764.0,760.0,5.0,3.0,0.37735137072885416,263600.0
36,13.18,16.3,665.0,1012.43,0.0,759.0,755.0,1.0,1.0,0.19230029614245606,65900.0
60,16.55,19.06,690.0,1376.78,0.0,659.0,655.0,10.0,5.0,0.09230698225398266,198600.0
36,12.59,21.18,685.0,711.01,0.0,679.0,675.0,5.0,3.0,0.11267446937367079,100720.0
60,13.67,31.99,720.0,5098.26,0.0,564.0,560.0,1.0,0.0,0.4932762197579141,451793.5
36,10.64,10.44,710.0,240.6,0.0,774.0,770.0,3.0,3.0,0.04666511116296124,14896.0
36,12.05,23.8,665.0,755.41,0.0,669.0,665.0,9.0,3.0,0.0685704489935858,57840.0
36,13.18,4.62,695.0,4279.64,0.0,764.0,760.0,3.0,1.0,0.45999163651569974,333454.0
36,14.48,38.65,690.0,818.43,0.0,699.0,695.0,0.0,0.0,0.11809298870497704,89776.0
60,13.18,8.31,675.0,1503.21,24.67,599.0,595.0,3.0,1.0,0.41537662737255054,284688.0
36,7.89,13.02,680.0,2465.87,0.0,634.0,630.0,1.0,0.0,0.2470559169892119,165690.0
36,10.78,28.46,675.0,1047.99,0.0,649.0,645.0,7.0,6.0,0.12244648068406767,64679.99999999999
36,8.38,10.66,675.0,175.4,0.0,629.0,625.0,3.0,2.0,0.07316894709885124,25140.000000000004
36,5.32,7.29,800.0,114.05,0.0,809.0,805.0,1.0,0.0,0.06097486616016878,26600.0
36,9.17,17.98,665.0,2340.65,0.0,759.0,755.0,3.0,2.0,0.16326364016693706,146720.0
36,9.17,15.62,680.0,1064.33,0.0,659.0,655.0,5.0,1.0,0.1107675266534361,66024.0
36,15.41,0.86,690.0,972.44,0.0,699.0,695.0,4.0,3.0,0.17142367360932545,92460.0
36,15.41,8.55,660.0,957.84,0.0,664.0,660.0,10.0,7.0,0.2352802776307276,61640.0
36,9.76,29.47,705.0,1298.94,0.0,679.0,675.0,4.0,2.0,0.1537267200098385,195200.0
36,17.57,30.59,660.0,499.9,0.0,599.0,595.0,6.0,3.0,0.1111086420301771,87850.0
60,16.99,23.32,695.0,12404.53,0.0,704.0,700.0,2.0,1.0,0.39272799153498217,573837.25
36,17.57,3.23,670.0,3355.45,0.0,664.0,660.0,11.0,4.0,0.15333128891614778,202055.0
60,9.76,27.86,690.0,1923.66,0.0,574.0,570.0,2.0,0.0,0.31249720984634066,341600.0
36,11.22,8.54,680.0,5.61,0.0,519.0,515.0,4.0,1.0,0.03157861496194777,33660.0
60,18.99,32.13,690.0,3691.58,0.0,499.0,0.0,5.0,4.0,0.24154297653409984,379799.99999999994
60,17.86,20.75,665.0,5352.97,0.0,614.0,610.0,3.0,2.0,0.11315704393200052,268793.0
36,9.17,11.61,700.0,880.14,0.0,714.0,710.0,6.0,2.0,0.1146839574787173,71526.0
36,15.41,29.98,695.0,2146.55,0.0,679.0,675.0,10.0,3.0,0.2682861393624546,169510.0
36,6.24,19.84,730.0,160.11,0.0,729.0,725.0,8.0,2.0,0.0708207581089768,40560.0
36,7.89,19.07,720.0,1518.22,0.0,764.0,760.0,6.0,2.0,0.2666607408724251,94680.0
36,15.41,15.73,720.0,390.39,0.0,569.0,565.0,3.0,2.0,0.2105207757690587,123280.0
